"Symbol: CLV25",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2024-03-27,72.26,72.26,72.25,72.26,-0.04999999999999716,75,9566
2024-03-28,72.76,72.99,72.76,72.99,0.7299999999999898,96,9617
2024-04-01,72.94,72.94,72.94,72.94,-0.04999999999999716,182,9543
2024-04-02,73.37,73.37,73.37,73.37,0.4300000000000068,608,9723
2024-04-03,73.83,73.9,73.83,73.9,0.5300000000000011,341,9818
2024-04-04,73.75,74.49,73.75,74.49,0.5899999999999892,307,9894
2024-04-05,74.25,74.39,74.25,74.39,-0.09999999999999432,196,9986
2024-04-08,73.75,74.22,73.7,74.19,-0.20000000000000284,313,10036
2024-04-09,74.36,74.36,73.65,73.65,-0.539999999999992,522,10070
2024-04-10,73.9,74.21,73.9,74.21,0.5599999999999881,455,10180
2024-04-11,74.11,74.11,74.11,74.11,-0.09999999999999432,271,10219
2024-04-12,75.01,75.4,74.56,74.56,0.45000000000000284,666,10475
2024-04-15,74.25,74.7,74.25,74.7,0.14000000000000057,479,10500
2024-04-16,74.89,74.89,74.89,74.89,0.18999999999999773,192,10565
2024-04-17,74.69,74.69,73.44,73.44,-1.4500000000000028,221,10574
2024-04-18,73.27,73.27,73.27,73.27,-0.1700000000000017,357,10531
2024-04-19,73.2,74.23,73,73,-0.269999999999996,848,10581
2024-04-22,72.78,72.78,72.47,72.78,-0.21999999999999886,120,10551
2024-04-23,73.42,73.42,72.73,73.42,0.6400000000000006,341,10630
2024-04-24,73.5,73.5,73.5,73.5,0.0799999999999983,61,10678
2024-04-25,73.81,73.81,73.46,73.81,0.3100000000000023,182,10826
2024-04-26,74.16,74.16,74.16,74.16,0.3499999999999943,197,10951
2024-04-29,73.64,73.64,73.64,73.64,-0.519999999999996,131,10981
2024-04-30,73.35,73.35,72.96,73.25,-0.39000000000000057,92,11022
2024-05-01,71.19,71.19,71.19,71.19,-2.0600000000000023,431,10953
2024-05-02,71.7,71.7,71.6,71.6,0.4099999999999966,58,10982
2024-05-03,71.6,71.75,71.6,71.61,0.010000000000005116,229,10936
2024-05-06,71.87,71.98,71.87,71.98,0.37000000000000455,181,10981
2024-05-07,71.9,71.9,71.89,71.9,-0.0799999999999983,269,11060
2024-05-08,71.8,71.8,71.33,71.8,-0.10000000000000853,388,11384
2024-05-09,71.85,71.97,71.85,71.97,0.1700000000000017,101,11431
2024-05-10,71.42,71.42,71.42,71.42,-0.5499999999999972,105,11478
2024-05-13,71.82,71.82,71.82,71.82,0.3999999999999915,47,11457
2024-05-14,71.38,71.48,71.22,71.48,-0.3399999999999892,194,11387
2024-05-15,71.7,71.7,71.29,71.7,0.21999999999999886,308,11528
2024-05-16,72.19,72.19,72.19,72.19,0.4899999999999949,245,11542
2024-05-17,72.79,72.79,72.79,72.79,0.6000000000000085,144,11504
2024-05-20,72.88,72.88,72.88,72.88,0.0899999999999892,137,11541
2024-05-21,72.55,72.55,72.55,72.55,-0.3299999999999983,446,11710
2024-05-22,71.5,71.5,71.5,71.5,-1.0499999999999972,349,11584
2024-05-23,71.07,71.78,71.07,71.08,-0.4200000000000017,516,11702
2024-05-24,71.38,71.38,71.38,71.38,0.29999999999999716,385,11932
2024-05-28,72.98,72.98,72.98,72.98,1.6000000000000085,532,12113
2024-05-29,72.69,72.69,72.69,72.69,-0.29000000000000625,245,12112
2024-05-30,71.9,71.9,71.9,71.9,-0.789999999999992,251,12127
2024-05-31,71.92,72.09,71.8,71.92,0.01999999999999602,248,12145
2024-06-03,71.99,71.99,70.13,70.13,-1.7900000000000063,471,12039
