"Symbol: CLK26",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2024-03-05,67.69,67.69,67.69,67.69,-0.5600000000000023,154,674
2024-03-06,67.87,67.87,67.87,67.87,0.18000000000000682,15,675
2024-03-07,68.02,68.02,68.02,68.02,0.14999999999999147,10,685
2024-03-08,67.6,67.6,67.6,67.6,-0.4200000000000017,10,695
2024-03-11,68.13,68.13,68.13,68.13,0.5300000000000011,,695
2024-03-12,68.01,68.01,68.01,68.01,-0.11999999999999034,,695
2024-03-13,68.92,68.92,68.92,68.92,0.9099999999999966,561,997
2024-03-14,69.41,69.41,69.41,69.41,0.4899999999999949,126,1123
2024-03-15,69.68,69.68,69.68,69.68,0.27000000000001023,,1123
2024-03-18,70.07,70.07,70.07,70.07,0.38999999999998636,149,1270
2024-03-19,70.29,70.29,70.29,70.29,0.22000000000001307,,1270
2024-03-20,69.8,69.8,69.8,69.8,-0.4900000000000091,20,1287
2024-03-21,69.86,69.86,69.86,69.86,0.060000000000002274,150,1293
2024-03-22,69.46,69.46,69.46,69.46,-0.4000000000000057,,1293
2024-03-25,70.11,70.11,70.11,70.11,0.6500000000000057,,1293
2024-03-26,70.03,70.03,70.03,70.03,-0.0799999999999983,18,1311
2024-03-27,70.02,70.02,70.02,70.02,-0.010000000000005116,10,1321
2024-03-28,70.62,70.62,70.62,70.62,0.6000000000000085,150,1471
2024-04-01,70.58,70.58,70.58,70.58,-0.04000000000000625,,1471
2024-04-02,70.85,70.85,70.85,70.85,0.269999999999996,31,1440
2024-04-03,71.31,71.31,71.31,71.31,0.46000000000000796,1,1441
2024-04-04,71.73,71.73,71.73,71.73,0.4200000000000017,9,1450
2024-04-05,71.57,71.57,71.57,71.57,-0.1600000000000108,50,1450
2024-04-08,71.42,71.42,71.34,71.42,-0.14999999999999147,6,1450
2024-04-09,70.94,70.94,70.94,70.94,-0.480000000000004,,1450
2024-04-10,71.4,71.4,71.4,71.4,0.46000000000000796,41,1491
2024-04-11,71.42,71.42,71.42,71.42,0.01999999999999602,,1491
2024-04-12,71.86,72.22,71.86,71.86,0.4399999999999977,,1491
2024-04-15,72.14,72.14,72.14,72.14,0.28000000000000114,6,1497
2024-04-16,72.36,72.36,72.36,72.36,0.21999999999999886,635,2032
2024-04-17,71.16,71.16,71.16,71.16,-1.2000000000000028,150,2032
2024-04-18,70.98,70.98,70.98,70.98,-0.1799999999999926,,2032
2024-04-19,70.73,71.56,70.73,70.73,-0.25,178,2050
2024-04-22,70.55,70.55,70.37,70.55,-0.18000000000000682,100,2050
2024-04-23,71.07,71.07,71.07,71.07,0.519999999999996,,2050
2024-04-24,71.24,71.24,71.24,71.24,0.1700000000000017,,2050
2024-04-25,71.51,71.51,71.51,71.51,0.27000000000001023,,2050
2024-04-26,71.79,71.79,71.79,71.79,0.28000000000000114,161,2211
2024-04-29,71.34,71.34,71.34,71.34,-0.45000000000000284,99,2260
2024-04-30,70.99,70.99,70.69,70.99,-0.3500000000000085,341,2446
2024-05-01,69.16,69.16,69.16,69.16,-1.8299999999999983,101,2497
2024-05-02,69.6,69.6,69.6,69.6,0.4399999999999977,,2497
2024-05-03,69.71,69.71,69.71,69.71,0.10999999999999943,,2497
2024-05-06,70.02,70.02,70.02,70.02,0.3100000000000023,,2497
2024-05-07,69.86,69.86,69.86,69.86,-0.1599999999999966,145,2589
2024-05-08,69.7,69.7,69.43,69.7,-0.1599999999999966,7,2596
2024-05-09,69.86,69.86,69.86,69.86,0.1599999999999966,110,2606
2024-05-10,69.38,69.38,69.38,69.38,-0.480000000000004,6,2612
2024-05-13,69.69,69.69,69.69,69.69,0.3100000000000023,,2612
2024-05-14,69.54,69.54,69.53,69.54,-0.14999999999999147,,2612
