date,im_correction_factor,price,pnl,baseline_margin,garch_volatility,margin_950,margin_990,margin_995,dynamic_margin,baseline_breach_950,baseline_breach_990,baseline_breach_995,baseline_breach,dynamic_breach,baseline_breach_magnitude,dynamic_breach_magnitude
2024-12-04,0.9742926,66.58,-0.1700000000000017,2.9886506698577753,0.014440563911529982,1.857365583412609,2.9886506698577753,3.5170304770669185,2.9118202316274733,0,0,0,0,0,0.0,0.0
2024-12-05,0.9689942,66.41,-0.5099999999999909,3.052854781126781,0.014788545249064103,1.8972667025990544,3.052854781126781,3.5925855823736335,2.9581985763541203,0,0,0,0,0,0.0,0.0
2024-12-06,0.9736304,65.9,0.9499999999999886,2.842282019619148,0.013875049516420246,1.76640142484244,2.842282019619148,3.34478451705283,2.767332179674599,0,0,0,0,0,0.0,0.0
2024-12-09,0.96932083,66.85,0.10000000000000853,2.868394286726939,0.013803531980223459,1.7826294928197508,2.868394286726939,3.3755133138873505,2.7803943307774146,0,0,0,0,0,0.0,0.0
2024-12-10,0.976945,66.95,0.9500000000000028,2.944769075023918,0.01414990261409986,1.830094358705192,2.944769075023918,3.4653908164101836,2.8768774239992414,0,0,0,0,0,0.0,0.0
2024-12-11,0.9757,67.9,0.03999999999999204,2.706099027850104,0.012821141684820623,1.6817673776086686,2.706099027850104,3.184524993469007,2.6403408214733464,0,0,0,0,0,0.0,0.0
2024-12-12,0.9816865,67.94,0.7000000000000028,2.9030335240700356,0.013746093609963213,1.8041568422438943,2.9030335240700356,3.4162766104033073,2.849868819626979,0,0,0,0,0,0.0,0.0
2024-12-13,0.97558004,68.64,-0.4899999999999949,2.577776123076097,0.01208149588741003,1.6020181619192633,2.577776123076097,3.0335151844111237,2.5148269332616233,0,0,0,0,0,0.0,0.0
2024-12-16,0.9772692,68.15,-0.5600000000000023,2.7105845726765825,0.012795282845346891,1.684555022437013,2.7105845726765825,3.1898035621622585,2.6489708168719854,0,0,0,0,0,0.0,0.0
2024-12-17,0.97739464,67.59,0.009999999999990905,2.5516513000344228,0.012144836347181267,1.5857822907685344,2.5516513000344228,3.002771611810877,2.4939703038026764,0,0,0,0,0,0.0,0.0
2024-12-18,0.97771204,67.6,-0.6899999999999977,2.6306948938641903,0.012519199911203269,1.6349057471327544,2.6306948938641903,3.095789752512286,2.572062071297541,0,0,0,0,0,0.0,0.0
2024-12-19,0.9757027,66.91,0.07000000000000739,2.3341529608045195,0.011222537657023492,1.4506129537130772,2.3341529608045195,2.7468205582140337,2.277439346069964,0,0,0,0,0,0.0,0.0
2024-12-20,0.97786325,66.98,-0.0799999999999983,2.5164390217661277,0.012086319106061984,1.5638988119034076,2.5164390217661277,2.961333963347783,2.4607332402510464,0,0,0,0,0,0.0,0.0
2024-12-23,0.9749636,66.9,0.6499999999999915,2.2108839215190725,0.010631452719571272,1.3740045787770996,2.2108839215190725,2.601758115012431,2.1555313473063524,0,0,0,0,0,0.0,0.0
2024-12-24,0.97356105,67.55,-0.3199999999999932,2.199174910121189,0.01047338834919274,1.3667277447845705,2.199174910121189,2.5879790038041475,2.1410310346312404,0,0,0,0,0,0.0,0.0
2024-12-26,0.971038,67.23,0.6400000000000006,2.200466214358622,0.010529418372954083,1.3675302554535198,2.200466214358622,2.589498604741126,2.1367363118583675,0,0,0,0,0,0.0,0.0
2024-12-27,0.9662727,67.87,0.3199999999999932,2.1831752454555526,0.010348169594657522,1.356784385797918,2.1831752454555526,2.569150671400022,2.1095426389994993,0,0,0,0,0,0.0,0.0
2024-12-30,0.9691445,68.19,0.6200000000000045,2.2457222903030027,0.010594687414014313,1.3956556830075537,2.2457222903030027,2.642755748499723,2.176429406174558,0,0,0,0,0,0.0,0.0
2024-12-31,0.9690645,68.81,0.8299999999999983,2.1560494035809077,0.010079986227931105,1.339926408508302,2.1560494035809077,2.5372291044027775,2.0893509372564303,0,0,0,0,0,0.0,0.0
2025-01-02,0.96999663,69.64,0.5,2.262309591576916,0.01045071641023998,1.4059642422575813,2.262309591576916,2.6622756089842605,2.194432679846285,0,0,0,0,0,0.0,0.0
2025-01-03,0.9689076,70.14,-0.030000000000001137,2.355718552662259,0.010804643186922157,1.464015385956654,2.355718552662259,2.7721988483516578,2.282473609135463,0,0,0,0,0,0.0,0.0
2025-01-06,0.9738658,70.11,0.39000000000000057,2.315850828772042,0.010626332553621089,1.4392386735126366,2.315850828772042,2.7252826927141522,2.2553279200427476,0,0,0,0,0,0.0,0.0
2025-01-07,0.9695273,70.5,-0.6500000000000057,2.172097879578036,0.009911583937734898,1.3499001024177038,2.172097879578036,2.5561148777591747,2.1059081925230183,0,0,0,0,0,0.0,0.0
2025-01-08,0.98281485,69.85,0.3400000000000034,2.1361630795228703,0.009838316341372574,1.3275675957977666,2.1361630795228703,2.5138269689527104,2.099452796576808,0,0,0,0,0,0.0,0.0
2025-01-09,0.9710757,70.19,1.2000000000000028,2.2327339898910346,0.010233272288036497,1.3875838054825163,2.2327339898910346,2.6274711758144957,2.1681537221472293,0,0,0,0,0,0.0,0.0
2025-01-10,0.9819698,71.39,-0.4200000000000017,2.1679220372896966,0.009769201482029729,1.3473049293429962,2.1679220372896966,2.5512007656002536,2.128833969372956,0,0,0,0,0,0.0,0.0
2025-01-13,0.97640324,70.97,0.10999999999999943,2.4950141007009594,0.01130969746651751,1.5505838027539212,2.4950141007009594,2.936121213957258,2.436139851770103,0,0,0,0,0,0.0,0.0
2025-01-14,0.96447927,71.08,0.9300000000000068,2.3423441289535867,0.010601225434829397,1.4557035432428154,2.3423441289535867,2.7564598875319763,2.259142355581941,0,0,0,0,0,0.0,0.0
2025-01-15,0.9689413,72.01,-0.710000000000008,2.2733540433737716,0.010156102000921225,1.412828070426604,2.2733540433737716,2.675272669485107,2.202746622146839,0,0,0,0,0,0.0,0.0
2025-01-16,0.9751167,71.3,-0.1799999999999926,2.4049136521221803,0.010850824678605637,1.4945888101212672,2.4049136521221803,2.830091417017475,2.3450714642423285,0,0,0,0,0,0.0,0.0
